Start Date = 8/03/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 14
Start Date = 9/03/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
Start Date = 10/03/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 14
Start Date = 11/03/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 14
Start Date = 12/03/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 14
Start Date = 13/03/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
Start Date = 14/03/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 14
Start Date = 15/03/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 14
Start Date = 16/03/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 14
Start Date = 17/03/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 14
Start Date = 18/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 19/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 20/03/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 14
Start Date = 21/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 22/03/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 14
Start Date = 23/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 24/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 25/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.8, No. of Octave notes = 14
Start Date = 26/03/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.7, No. of Octave notes = 14
Start Date = 27/03/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0.666666666666667, No. of Octave notes = 14
Start Date = 28/03/1995 12:00:00 PM, length = 240, No. of Hits = 7, Error/Hit = 0.714285714285714, No. of Octave notes = 14
Start Date = 29/03/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0.5, No. of Octave notes = 14
Start Date = 30/03/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0.333333333333333, No. of Octave notes = 14
Start Date = 31/03/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0.222222222222222, No. of Octave notes = 14
Start Date = 1/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.1, No. of Octave notes = 14
Start Date = 2/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 14
Start Date = 3/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.0909090909090909, No. of Octave notes = 14
Start Date = 4/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.2, No. of Octave notes = 14
Start Date = 5/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.272727272727273, No. of Octave notes = 14
Start Date = 6/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.363636363636364, No. of Octave notes = 14
Start Date = 7/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.5, No. of Octave notes = 14
Start Date = 8/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0.6, No. of Octave notes = 14
Start Date = 9/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.636363636363636, No. of Octave notes = 14
Start Date = 10/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0.727272727272727, No. of Octave notes = 14
Start Date = 11/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 12/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 13/04/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 14/04/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 15/04/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 16/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 17/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 18/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 19/04/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 13
Start Date = 20/04/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 13
Start Date = 21/04/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 13
Start Date = 22/04/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 13
Start Date = 23/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 24/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 25/04/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 26/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 27/04/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 28/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 29/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 30/04/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 1/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 2/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 3/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 4/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 5/05/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 6/05/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 7/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 8/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 9/05/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 10/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 11/05/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 12/05/1995 12:00:00 PM, length = 240, No. of Hits = 8, Error/Hit = 0, No. of Octave notes = 13
Start Date = 13/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 14/05/1995 12:00:00 PM, length = 240, No. of Hits = 9, Error/Hit = 0, No. of Octave notes = 13
Start Date = 15/05/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 16/05/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 17/05/1995 12:00:00 PM, length = 240, No. of Hits = 10, Error/Hit = 0, No. of Octave notes = 13
Start Date = 18/05/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 19/05/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 20/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 21/05/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 22/05/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 23/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 24/05/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 25/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 26/05/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 27/05/1995 12:00:00 PM, length = 240, No. of Hits = 15, Error/Hit = 0, No. of Octave notes = 13
Start Date = 28/05/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 29/05/1995 12:00:00 PM, length = 240, No. of Hits = 15, Error/Hit = 0, No. of Octave notes = 13
Start Date = 30/05/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 31/05/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 1/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 2/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 3/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 4/06/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 5/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 6/06/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 7/06/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 8/06/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
Start Date = 9/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 10/06/1995 12:00:00 PM, length = 240, No. of Hits = 14, Error/Hit = 0, No. of Octave notes = 13
Start Date = 11/06/1995 12:00:00 PM, length = 240, No. of Hits = 12, Error/Hit = 0, No. of Octave notes = 13
Start Date = 12/06/1995 12:00:00 PM, length = 240, No. of Hits = 13, Error/Hit = 0, No. of Octave notes = 13
Start Date = 13/06/1995 12:00:00 PM, length = 240, No. of Hits = 11, Error/Hit = 0, No. of Octave notes = 13
